"","x"
"655","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"656","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"657","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"658","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"659","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"660","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"661","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"662","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"663","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"664","1、“小米和iPhone比，优势在哪里？”“丢了没那么心疼”2、“你对一个人最高级别的信任是什么？”“跟他出门不带脑子。”3、某人发说说：有两件事我最憎恶：没有信仰的博才多学和充满信仰的愚昧无知。神回复：第一句是就怕流氓有文化；第二句是傻B认死理。4、“你知道闪电侠吗？”“他无论做什么事情都很快。只是他结婚后，每到晚上他老婆就不满意了。 ”5、“对于整容你怎么看？” “人工美可能比不上自然美，但一定强过自然丑。”6、那天我拿着一个很大的塑料口袋在逆风抖。......"
"665","1、逛街看到两个男的在跑，跑后面的那个突然说了句：MD，跑得比狗都快。。。2、买了一只全北京最好吃的鸭子，它把我家的东西全吃光了。3、吃饭不拍照，臣妾做不到；拍照不发博，感觉不能活。4、刘备要在北京盖房子，诸葛亮掐指一算说：“只买水泥，沙子今天到京。”5、忽然有减肥的强烈欲望，但好在我自制力比较强，一到饭点就把这个念头压下去了。6、晚上在星巴克喝了杯特浓咖啡，结果现在怎么都睡不着觉了。老贵了想想就心疼。<......"
"666","1、叛逆和叛变区别是？神回复：“ 叛逆就是瞒着爸妈去开房，叛变就是瞒着男友去开房 ”2、大便时最痛苦的是发生了什么事情？神回复：是没带纸吗？错，是带了纸没用上。3、“如何形容一个人很丑，但又不能太直接呢？”神回复：“这是一个看脸的时代，而你不属于这个时代。”4、“什么是团结?”“两块钱你什么都买不了，而一亿个两块钱，却能买很多东西。”5、女人：“男人在付钱的时候最帅。”黑老大神回复：“那为什么给我们交保护费的男人都那么怂呢？”6、“怎么你小小年纪就近视了？”......"
"667","1、一个偷鸡贼到教堂，神父问他：你最近有没有偷鸡？小偷说：没有。神父追问：一只也没有偷？小偷说：对天发誓，一只也没有偷！神父欣慰地说：很好啊，你离上帝又近了一步。小偷擦了把汗心想：还好我TM最近改偷鸭了，不然就得远离上帝了。2、一楼盘工地上，几个光头纹身壮汉对老板说：今天这批货，分我们哥几个几万？老板思索过后说：八万吧！带头的壮汉皱紧眉头说：八万少点十万怎么样？八万不够一帮兄弟分！老板一挥手：一言为定！把十万砖搬完了，去找出纳领工钱！3、女司机开车，边上坐着她一朋友。......"
